address,value
0x41dB97796af2D23cA0C2C28181F117260c78CbfC,7500
0xcA311FF7Afe460732aB8175F1CF06a1006e4741D,3000
0x7b4581eD8d86A5641B2Ec857deae6A622850e410,300
0x086baac117d563270EC8ECBd465D6efB10f9f9F4,300
0x76F700D4a111cBB59A8718AAf4335Ca23016Dc56,300
0xa495893ceB72AE222D1e34d2Dc1872B83c47D5fA,300
0x8aEf8C29DB9009FE048b0172B6b396F282d939bb,2100
0x42661C39a64A9E009Eb0Dfd48D7fa25d3B7C1990,300
0x9a5Fd2BDa794Ec5eD89c093F8C76F346c7Deed68,300
0xF6Ae6A97ae4d6c0f9bb14Ae78dCbdD9015571803,300
0x836Dfd4147728DF7018266F06805Ad164ae17C90,300
0xf14A11EBe485E758Fda40dfeb9CD505011490B2f,1200
0x097c3e76724fD892b87b939EC927A5062A00DC48,300
0xC2f3fe8F00c4fc2CD0cb2764C73E8bAD12CE188A,300
0x0764dc400C280FF2B6D1F0582969C0c668271340,600
0x977dFd4a014CcAcc41FC583771aBE9d04D279c20,900
0x0B33cb704a541aFED87C0ee4B299EC60601D5593,600
0x86E6e8dd184b42fD86654035A1eb78AbB9e3F13F,300
0x3da2C97534378a7D60B26983a06C59934Dc9862a,300
0xD2e62F4902A81d203E5ad214596da920B324BA32,300
0x0cAF40437269caC99B47F6Eaf19BD04B17024d76,300
0x43D80f4b3b0d124A1D05Ba783b35aA2AFCCD19ee,300
0x7851613F239760FB40700d41e88cDBD88d928bDE,900
0x067CFC85CE776d375DD9BA57c020dB2110C9cc26,900
0xDB77c8B5ff5aBA5Eb0e03478D966F499b3FE5041,300
0x96Fc3e612Ac6910A87b42C3D889Bd0F59Cd26A2f,600
0xf14C2D05a13E926816A4aA0a0cA256853c0d5d09,300
0x3382685b06ae4Da353e0A98e4Fd83654fc351C0a,900
0x9236D31FdCCf29b16880a54D06d1E239DD08866D,600
0xeba17919CB43E0f5CeB4Ea2E0368D2fbE440b6b8,900
0x45faD3d36fA506e7F955711D6D0Dc94a5be8F4B6,300
0x6EAA340B1040DB919c7de40fD194710b234A53Ed,900
0xfeEC9284DE9366F0233e1F05Dea29756d5a2A819,300
0xD12d54537C76c7500aB9bA300519cd276A50a41a,10200
